rbc_count,area,perimeter,eccentricity,contrast,correlation,energy,homogeneity,mean_intensity,mean_red,std_red,red_green_ratio
1031,733350.0,99340.57799803776,0.5871870360390766,3190.164759641592,0.8954251636644357,0.6958412536844198,0.9509303544916234,4589.9805,60.09287683823529,77.90502871944784,1.0634926867682553
1160,5.0,5.207106781186548,0.816496580927726,3252.657737121831,0.8940528051579756,0.6928234925127006,0.9496399604530346,4589.8125,65.9884837962963,84.30365837391422,1.1265189292535143
1163,614999.0,117259.33942354794,0.6129551482733848,3827.6844848732626,0.882012016711013,0.6676039965181559,0.9411360919497853,4590.0,76.98451456971678,81.13817422043145,1.0190289410027225
1132,4.0,3.2071067811865475,0.9128709291752769,3539.96569654538,0.8904112013203761,0.6721286270468876,0.9455607649779261,4590.0,73.61905637254903,80.32173103198807,1.0296948152470273
1044,680635.0,129226.98399739579,0.5889465722760799,4187.647828938403,0.8678695104649339,0.6725463885765396,0.9355746137197435,4589.8438,65.60889246323529,77.50580108921181,1.0352073686311098
1007,552320.0,123438.18216681454,0.5958409213708837,4095.0665729762877,0.8735912629791889,0.6651820440403954,0.9367661735379145,4589.703,87.00441772194989,82.45745743483721,1.0285357037633682
533,656921.0,106268.08527663503,0.6146027066084379,3593.3360997547015,0.887768194935856,0.6747088563008823,0.944589976631675,4588.836,71.00658700980392,80.96908753603408,1.0388166986769836
1054,5.0,4.0,0.8846517369293827,2812.4706979081493,0.9013348516467812,0.7212596099627702,0.9567144074435276,4589.7617,49.50701422930283,71.79050802609122,1.0456914857809072
1320,46.0,32.55634918610404,0.833037078742826,4016.6783421913333,0.8764461062692367,0.6648748979099661,0.9382048670601508,4589.8945,82.35033871187363,82.16368819540288,1.034424864277432
1089,687240.0,97932.93070664979,0.6204481848786342,3112.2474115903524,0.9014092851887471,0.6845014245974027,0.9517654125460699,4589.4414,70.28998502178649,83.9101776426626,1.1063960351971023
1337,1.0,0.0,0.0,3778.6466356636683,0.8824616869903056,0.671325457450779,0.9417214752824621,4590.0,72.67771990740741,81.2352353200594,1.0771978806737885
897,2.0,0.0,1.0,4854.224256439084,0.8506036969944829,0.6566770277595239,0.9253420321750003,4589.9688,87.08916377314814,85.53070060830075,1.0539851151929331
1116,648418.0,120283.11546255351,0.6084141483127437,3741.4059970359767,0.8836654499222425,0.6715097632821853,0.9422218281667544,4589.949,83.12646888616558,93.24874235805463,1.146476863200728
965,1.0,0.0,0.0,3755.968364165985,0.884363591075073,0.667868840617152,0.9422281323742354,4589.8984,100.2756399782135,98.26232027858975,1.2149611057740117
1262,1.0,0.0,0.0,3944.517924672935,0.8784396715512923,0.6662429657533675,0.9392432767465789,4589.996,102.73129340277778,98.92648397562499,1.1435995164789157
1041,1.0,0.0,0.0,3472.342089125102,0.8916835042512343,0.6756113936832272,0.9466007121901224,4589.9844,78.89763242102397,89.95252489848127,1.1358469406617115
899,1.0,0.0,0.0,3676.209819603434,0.8861825129004861,0.6707769566461017,0.9434655396364002,4590.0,86.82621102260349,95.22212514935353,1.1908020202598277
1104,843528.0,84942.99128346442,0.6196542280773687,2660.389045891251,0.8989759361238661,0.7454103635073208,0.9589235856497773,4590.0,52.50838779956427,84.42415472551755,1.2569308962899939
1080,1.0,0.0,0.0,3424.6124369719264,0.8925502704760512,0.6781792053839377,0.9473001964527181,4589.867,82.47799989787582,96.38608826145315,1.2102168562373714
1237,1.0,0.0,0.0,4006.9107352139545,0.874925172837099,0.6704102109080893,0.9383362070554829,4590.0,83.05868395969499,75.99901113243095,0.8013890291085148
552,6.0,5.621320343559642,0.7565019143903671,3365.803245945762,0.8964579332453358,0.671307390827526,0.947969226409656,4589.082,78.56213320397603,80.22635711101273,0.8509121152773081
586,630106.0,101754.14758655321,0.6059909327044919,3578.920342736441,0.8888353899414254,0.6727777996649543,0.9447360465542444,4590.0,63.632261029411765,71.33508621523049,0.8327225428040052
951,624148.0,105935.51024775623,0.6241971003806873,3457.6100010220766,0.8932223726342409,0.6720639033084896,0.946827269076645,4589.9062,68.82827308006536,74.32743369835663,0.7892319004372073
1112,2.0,0.0,1.0,3032.69072039384,0.8983946641893148,0.7043737990333667,0.9529913244591629,4589.4453,54.46871000136166,73.52770510768921,0.8240384575558615
465,733149.0,173826.62295669457,0.6062092893600933,5872.245308667212,0.8071370599595677,0.6693784057521686,0.9085435283657071,4586.7695,59.66150258714597,78.03049162347337,0.8664182872251305
368,130.0,104.8700576850888,0.5501105739912332,3575.5963716271467,0.8884230128644951,0.6737712863590686,0.9439687060010361,4589.539,76.32963048066449,86.99307704290926,1.041459374770516
837,57.0,35.935028842544405,0.9265932257659769,3143.1413302330334,0.8937334903118178,0.7060483855540474,0.9510657457439642,4586.41,55.24145986519608,76.55557972370514,0.9884747539264436
